142.40  34.60   -2.92035 
142.60  30.60   -2.97163 
144.40  38.80   -3.09444 
142.40  32.00   -3.10818 
142.40  32.60   -3.14317 
142.80  35.80   -3.15187 
142.40  31.80   -3.18070 
144.20  38.00   -3.23782 
144.60  39.80   -3.32634 
145.00  40.80   -3.35042 
142.40  34.80   -3.45969 
142.40  32.20   -3.48638 
145.20  41.00   -3.49778 
143.60  36.80   -3.51376 
143.00  36.00   -3.55329 
144.80  40.40   -3.57750 
142.40  31.60   -3.66289 
142.60  35.60   -3.68127 
146.60  41.80   -3.77991 
145.80  41.40   -3.78786 
144.40  39.00   -3.79115 
142.20  34.00   -3.91418 
142.40  32.40   -3.94859 
144.60  40.00   -3.98323 
142.20  33.80   -3.99432 
142.40  35.00   -4.07875 
144.40  39.20   -4.18954 
142.60  30.40   -4.21355 
144.20  38.20   -4.22472 
142.60  35.80   -4.24044 
142.40  31.40   -4.38335 
143.40  36.60   -4.44316 
145.40  41.20   -4.44911 
144.00  37.60   -4.45917 
142.20  34.20   -4.46448 
144.80  40.60   -4.47486 
146.20  41.60   -4.50821 
143.80  37.20   -4.50977 
144.40  39.40   -4.65728 
142.20  33.60   -4.72066 
145.00  41.00   -4.77142 
144.60  40.20   -4.96007 
142.40  35.20   -4.96557 
145.60  41.40   -5.10206 
143.20  36.40   -5.11748 
144.80  40.80   -5.20068 
142.40  31.20   -5.20708 
144.40  39.60   -5.33042 
144.20  38.40   -5.40488 
142.20  34.40   -5.53294 
146.80  42.00   -5.53951 
142.40  35.40   -5.72884 
142.40  31.00   -5.78319 
143.00  36.20   -5.80246 
142.20  33.40   -5.80728 
143.60  37.00   -5.82336 
144.20  38.60   -5.86302 
142.60  30.20   -5.88951 
147.00  42.20   -5.92769 
144.60  40.40   -5.95216 
144.80  41.00   -5.95922 
146.40  41.80   -5.98161 
142.80  36.00   -6.03185 
145.20  41.20   -6.04155 
144.00  37.80   -6.11138 
146.00  41.60   -6.12063 
144.40  39.80   -6.18465 
144.40  40.00   -6.28568 
142.40  35.80   -6.31003 
142.20  32.80   -6.38777 
143.80  37.40   -6.54338 
142.40  35.60   -6.56218 
142.20  33.20   -6.66323 
144.20  38.80   -6.69720 
142.20  34.60   -6.71013 
144.60  40.60   -6.73255 
142.60  36.00   -6.80045 
142.20  34.80   -6.82108 
145.80  41.60   -6.93641 
143.40  36.80   -6.94393 
142.40  30.80   -6.96183 
144.40  40.20   -7.03892 
142.20  32.60   -7.09172 
142.20  33.00   -7.12700 
145.00  41.20   -7.16267 
142.20  35.00   -7.17761 
146.60  42.00   -7.18682 
144.00  38.00   -7.19535 
145.40  41.40   -7.30108 
144.20  39.00   -7.31550 
144.20  39.20   -7.33310 
143.20  36.60   -7.36190 
144.60  40.80   -7.40287 
144.40  40.40   -7.41783 
144.20  39.40   -7.49302 
144.00  38.20   -7.61387 
142.20  32.00   -7.62930 
142.00  34.00   -7.65794 
146.20  41.80   -7.67004 
142.20  31.80   -7.80655 
142.00  33.80   -7.81956 
144.60  41.00   -7.82905 
144.20  39.60   -7.84867 
143.00  36.40   -7.92909 
142.40  30.60   -7.94072 
142.20  35.40   -7.96507 
142.20  35.20   -7.98180 
145.60  41.60   -8.01001 
142.20  32.20   -8.08062 
143.60  37.20   -8.11788 
143.80  37.60   -8.11867 
142.00  34.20   -8.13222 
142.60  30.00   -8.13294 
147.00  42.40   -8.18403 
142.80  36.20   -8.24804 
144.40  40.60   -8.27203 
144.80  41.20   -8.42669 
142.20  31.60   -8.43640 
144.20  39.80   -8.55980 
146.80  42.20   -8.56469 
146.40  42.00   -8.59888 
144.00  38.40   -8.60964 
142.00  33.60   -8.73305 
142.40  30.40   -8.74361 
144.20  40.00   -8.77344 
146.00  41.80   -8.79482 
142.40  36.00   -8.91611 
145.20  41.40   -8.92725 
144.00  38.60   -8.94527 
143.40  37.00   -8.95351 
144.40  40.80   -8.99463 
142.20  32.40   -9.03497 
142.00  32.80   -9.13577 
144.20  40.20   -9.15641 
142.00  34.40   -9.16300 
142.20  35.60   -9.16689 
142.20  31.40   -9.24505 
142.40  30.20   -9.29873 
143.80  37.80   -9.38021 
144.20  40.40   -9.50334 
144.00  38.80   -9.64965 
146.60  42.20   -9.68229 
143.20  36.80   -9.73499 
145.80  41.80   -9.73961 
142.60  36.20   -9.80839 
144.40  41.00   -9.84067 
146.20  42.00   -9.84715 
