>138.43	35.66
>138.1	35.595
>137.85	35.55
137.6	35.5
137.5	35.49
137.4	35.5
137.3	35.525
137.2	35.57
137.1	35.61
137.0	35.66
136.9	35.7
>
135.97	35.3
135.96	35.2
135.95	35.1
135.87	35.0
135.8	34.9
135.77	34.8
135.75	34.7
135.725	34.4
135.7	34.3
135.6	34.23
135.5	34.19
135.4	34.18
135.3	34.19
>
>>
>
134.2	34.685
134.1	34.68
134.0	34.65
133.9	34.63
133.8	34.58
133.7	34.55
133.6	34.5
>
132.06	33.9
132.05	33.7
132.0	33.5
131.9	33.25
131.73	32.9
131.7	32.8
131.6	32.6
131.45	32.4
131.4	32.3
131.3	32.0
131.2	31.7
131.01	31.35
130.91	31.08
