     131.516    32.171    175.601     0.130
     131.531    32.557    172.875     0.161
     131.579    33.229    173.991     0.191
     131.583    32.316   -163.301     0.104
     131.588    32.987    171.027     0.192
     131.629    32.853    171.027     0.192
     131.632    32.446    169.380     0.163
     131.670    32.429    166.759     0.175
     131.748    33.097    175.030     0.231
     131.757    32.704    163.301     0.209
     131.798    33.240    165.964     0.206
     131.876    32.925    164.745     0.228
     132.039    32.937    161.565     0.221
     132.046    33.369    159.146     0.225
     132.222    33.435    159.146     0.225
     132.281    33.470    158.199     0.215
     132.360    33.203    155.225     0.286
     132.475    33.385    156.501     0.251
     132.487    33.612    154.654     0.210
     132.489    33.040    158.199     0.323
     132.544    33.178    156.038     0.295
     132.556    32.739    151.390     0.376
     132.562    32.964    155.695     0.340
     132.565    33.511    154.537     0.233
     132.634    33.097    156.571     0.327
     132.676    32.928    154.093     0.389
     132.694    33.447    164.055     0.291
     132.704    32.841    152.784     0.394
     132.744    33.306    156.038     0.295
     132.793    33.172    154.983     0.331
     132.799    33.643    154.537     0.233
     132.811    32.762    150.945     0.412
     132.822    33.061    155.556     0.362
     132.832    32.961    156.038     0.394
     132.912    33.797    148.570     0.211
     132.923    33.392    154.290     0.300
     132.938    33.570    152.447     0.259
     132.962    33.104    154.093     0.389
     132.967    32.756    150.422     0.425
     132.972    33.194    152.700     0.349
     132.974    33.313    152.650     0.326
     132.982    32.870    152.819     0.416
     133.000    32.992    153.435     0.402
     133.090    33.417    151.821     0.318
     133.129    33.216    152.745     0.371
     133.155    33.608    150.524     0.264
     133.229    33.328    152.021     0.362
     133.242    33.273    153.435     0.380
     133.244    33.334    152.021     0.362
     133.281    33.469    153.435     0.335
     133.363    33.705    149.421     0.256
     133.432    33.546    150.945     0.309
     133.463    33.819    149.931     0.220
     133.532    33.627    150.751     0.287
     133.539    33.940    157.620     0.184
     133.579    33.530    151.113     0.331
     133.682    33.938    147.724     0.225
     133.701    33.543    151.113     0.331
     133.798    33.840    165.256     0.196
     133.806    33.655    150.018     0.300
     133.876    34.041    141.340     0.192
     133.905    33.506    154.134     0.367
     133.923    33.876    153.435     0.268
     133.942    33.723    150.751     0.287
     134.008    33.428    154.058     0.411
     134.050    34.052    149.534     0.197
     134.057    33.368    154.026     0.434
     134.060    33.878    140.194     0.234
     134.101    33.498    154.093     0.389
     134.108    33.604    151.928     0.340
     134.123    33.316    153.997     0.456
     134.178    33.252    153.435     0.470
     134.179    33.267    153.435     0.470
     134.207    33.395    155.225     0.430
     134.213    33.935    150.255     0.242
     134.232    34.039    150.945     0.206
     134.282    33.528    155.433     0.385
     134.303    33.790    154.359     0.277
     134.354    34.098    150.642     0.184
     134.374    33.619    154.179     0.344
     134.391    33.880    156.501     0.251
     134.459    33.995    157.166     0.206
     134.486    33.823    155.376     0.264
     134.512    33.934    158.629     0.247
     134.535    33.726    156.038     0.295
     134.562    34.061    153.435     0.201
     134.593    33.776    157.068     0.282
     134.607    34.173    154.983     0.166
