     131.516    32.171   -178.240     0.110
     131.531    32.557    174.833     0.151
     131.579    33.229    167.639     0.146
     131.583    32.316    172.098     0.127
     131.588    32.987    172.459     0.171
     131.629    32.853    172.752     0.182
     131.632    32.446    170.392     0.155
     131.670    32.429    168.267     0.162
     131.748    33.097    168.957     0.196
     131.757    32.704    166.695     0.213
     131.798    33.240    165.762     0.188
     131.876    32.925    165.208     0.235
     132.039    32.937    159.350     0.274
     132.046    33.369    161.718     0.208
     132.222    33.435    160.761     0.217
     132.281    33.470    160.419     0.216
     132.360    33.203    158.641     0.282
     132.475    33.385    160.001     0.257
     132.487    33.612    157.868     0.207
     132.489    33.040    155.031     0.333
     132.544    33.178    156.711     0.308
     132.556    32.739    149.662     0.391
     132.562    32.964    154.268     0.357
     132.565    33.511    159.363     0.239
     132.634    33.097    155.544     0.335
     132.676    32.928    154.305     0.375
     132.694    33.447    157.755     0.267
     132.704    32.841    153.106     0.389
     132.744    33.306    156.202     0.302
     132.793    33.172    155.111     0.338
     132.799    33.643    154.911     0.232
     132.811    32.762    151.091     0.398
     132.822    33.061    154.782     0.367
     132.832    32.961    154.416     0.388
     132.912    33.797    149.567     0.205
     132.923    33.392    154.251     0.305
     132.938    33.570    153.810     0.262
     132.962    33.104    153.950     0.377
     132.967    32.756    150.258     0.414
     132.972    33.194    153.745     0.358
     132.974    33.313    153.627     0.330
     132.982    32.870    152.683     0.418
     133.000    32.992    153.652     0.406
     133.090    33.417    152.577     0.318
     133.129    33.216    153.044     0.376
     133.155    33.608    151.331     0.269
     133.229    33.328    152.485     0.361
     133.242    33.273    152.810     0.377
     133.244    33.334    152.460     0.361
     133.281    33.469    151.729     0.324
     133.363    33.705    150.563     0.251
     133.432    33.546    151.720     0.311
     133.463    33.819    150.156     0.222
     133.532    33.627    151.823     0.290
     133.539    33.940    148.954     0.196
     133.579    33.530    152.581     0.329
     133.682    33.938    149.701     0.205
     133.701    33.543    152.986     0.335
     133.798    33.840    150.977     0.240
     133.806    33.655    152.396     0.302
     133.876    34.041    147.976     0.194
