141.2	46.6	434.212
141.4	46.6	432.158
141.6	46.6	429.971
141.8	46.6	427.671
142	46.6	425.296
142.2	46.6	422.04
142.4	46.6	419.613
142.6	46.6	417.87
142.8	46.6	415.874
143	46.6	413.597
143.2	46.6	410.406
143.4	46.6	407.877
143.6	46.6	405.838
143.8	46.6	402.853
144	46.6	399.77
144.2	46.6	395.424
144.4	46.6	390.547
144.6	46.6	388.687
144.8	46.6	384.731
145	46.6	381.403
145.2	46.6	376.753
145.4	46.6	373.366
145.6	46.6	370.167
145.8	46.6	367.046
146	46.6	362.762
146.2	46.6	359.521
146.4	46.6	357.591
146.6	46.6	354.359
146.8	46.6	350.301
147	46.6	347.501
128	46.4	640.25
128.2	46.4	633.584
128.4	46.4	626.847
128.6	46.4	620.027
128.8	46.4	613.112
129	46.4	606.091
129.2	46.4	598.954
129.4	46.4	591.701
129.6	46.4	584.337
129.8	46.4	576.887
130	46.4	569.404
130.2	46.4	562.008
130.4	46.4	554.974
130.6	46.4	548.884
130.8	46.4	544.425
131	46.4	539.727
131.2	46.4	534.33
131.4	46.4	527.751
131.6	46.4	519.663
131.8	46.4	510.2
132	46.4	500.262
132.2	46.4	494.077
132.4	46.4	490.596
132.6	46.4	488.302
132.8	46.4	486.764
133	46.4	485.163
133.2	46.4	483.368
133.4	46.4	481.67
133.6	46.4	480.361
133.8	46.4	479.347
134	46.4	478.448
134.2	46.4	477.544
134.4	46.4	476.427
134.6	46.4	475.073
134.8	46.4	473.769
135	46.4	472.449
135.2	46.4	470.636
135.4	46.4	468.458
135.6	46.4	467.067
135.8	46.4	466.206
136	46.4	465.706
136.2	46.4	464.702
136.4	46.4	462.806
136.6	46.4	461.008
136.8	46.4	459.494
137	46.4	458.239
137.2	46.4	456.565
137.4	46.4	454.226
137.6	46.4	453.187
137.8	46.4	451.412
138	46.4	449.768
138.2	46.4	447.654
138.4	46.4	444.596
138.6	46.4	442.44
138.8	46.4	440.084
139	46.4	438.428
139.2	46.4	436.516
139.4	46.4	434.314
139.6	46.4	432.124
139.8	46.4	430.418
140	46.4	428.43
140.2	46.4	426.599
140.4	46.4	424.36
140.6	46.4	421.911
140.8	46.4	419.63
141	46.4	417.126
141.2	46.4	414.624
141.4	46.4	412.322
141.6	46.4	409.83
141.8	46.4	406.964
142	46.4	404.736
142.2	46.4	400.824
142.4	46.4	397.869
142.6	46.4	396.187
142.8	46.4	393.661
143	46.4	391.337
143.2	46.4	386.818
143.4	46.4	383.136
143.6	46.4	380.195
143.8	46.4	377.072
144	46.4	373.378
144.2	46.4	369.287
144.4	46.4	364.836
144.6	46.4	362.175
144.8	46.4	359.099
145	46.4	356.66
145.2	46.4	351.956
145.4	46.4	348.241
145.6	46.4	345.573
145.8	46.4	343.08
146	46.4	340.22
146.2	46.4	337.534
146.4	46.4	335.204
146.6	46.4	332.265
146.8	46.4	328.94
147	46.4	325.962
128	46.2	639.145
128.2	46.2	632.484
128.4	46.2	625.755
128.6	46.2	618.947
128.8	46.2	612.047
129	46.2	605.046
129.2	46.2	597.935
129.4	46.2	590.712
129.6	46.2	583.384
129.8	46.2	575.975
130	46.2	568.537
130.2	46.2	561.173
130.4	46.2	554.082
130.6	46.2	547.616
130.8	46.2	542.416
131	46.2	536.668
131.2	46.2	530.201
131.4	46.2	522.804
131.6	46.2	514.397
131.8	46.2	505.207
132	46.2	495.935
132.2	46.2	488.327
132.4	46.2	482.925
132.6	46.2	478.889
132.8	46.2	475.538
133	46.2	472.29
133.2	46.2	469.139
133.4	46.2	466.626
133.6	46.2	465.142
133.8	46.2	464.44
134	46.2	463.82
134.2	46.2	463.08
134.4	46.2	461.931
134.6	46.2	460.505
134.8	46.2	459.079
135	46.2	457.817
135.2	46.2	455.891
135.4	46.2	453.268
135.6	46.2	451.978
135.8	46.2	451.147
136	46.2	451.111
136.2	46.2	450.276
136.4	46.2	447.772
136.6	46.2	445.739
136.8	46.2	443.887
137	46.2	442.484
137.2	46.2	440.311
137.4	46.2	437.877
137.6	46.2	436.097
137.8	46.2	434.065
138	46.2	432.004
138.2	46.2	429.827
138.4	46.2	427.226
138.6	46.2	424.727
138.8	46.2	421.995
139	46.2	419.745
139.2	46.2	417.566
139.4	46.2	415.489
139.6	46.2	413.364
139.8	46.2	411.126
140	46.2	408.504
140.2	46.2	407.013
