23.4967 141.9400  -84,"Minami-HiyoshiSeamount""ÆîÆüµÈ³¤»³"},
23.0750 141.3083 -430,"NikkoSeamount""Æü¸÷³¤»³"},
35.1375 132.6242 1126,"Sanbesan""»°ÉÓ»³"},
34.4461 131.4042  112,"AbuVolcanoes""°¤Éğ²Ğ»³·²"},
33.2833 131.4322 1375,"Tsurumidake and Grandake(Tsurumidake)""Äá¸«³Ù¡¦²ÀÍõ³Ù(Äá¸«³Ù)"},
33.2789 131.3925 1583,"Yufudake""Í³ÉÛ³Ù"},
33.0825 131.2514 1791,"Kujusan""¶å½Å»³"},
32.8808 131.1064 1592,"Asosan""°¤ÁÉ»³"},
32.7567 130.2944 1359,"Unzendake""±ÀÀç³Ù"},
32.6531 128.8511  315,"FukueVolcanoes(Onidake)""Ê¡¹¾²Ğ»³·²(µ´³Ù)"},
31.9308 130.8639 1700,"Kirishimayama""Ì¸Åç»³"},
31.7725 130.5678   15,"Yonemaru and Sumiyoshiike(Yonemaru)""ÊÆ´İ¡¦½»µÈÃÓ(ÊÆ´İ)"},
31.6500 130.7500 -204,"Wakamiko""¼ãÂº"},
31.5850 130.6569 1117,"Sakurajima""ºùÅç"},
31.2097 130.5694  256,"Ikeda and Yamagawa(Nabeshimadake)""ÃÓÅÄ¡¦»³Àî(ÆéÅç³Ù)"},
31.1767 130.5306  922,"Kaimondake""³«Ê¹³Ù"},
30.7894 130.3075  704,"Satsuma-Iojima(Iodake)""»§ËàÎ²²«Åç(Î²²«³Ù)"},
30.4425 130.2194  657,"Kuchinoerabujima""¸ı±ÊÎÉÉôÅç"},
29.9642 129.9278  626,"Kuchinoshima(Maedake)""¸ıÇ·Åç(Á°³Ù)"},
29.8556 129.8592  979,"Nakanoshima""ÃæÇ·Åç"},
29.6347 129.7161  799,"Suwanosejima""¿ÛË¬Ç·À¥Åç"},
27.8772 128.2244  212,"Io-Torishima""Î²²«Ä»Åç"},
24.5667 123.9333 9999,"Iriomotejima(SubmarineVolcanoNNE)""À¾É½ÅçËÌËÌÅì³¤Äì²Ğ»³"},
45.3867 148.8425 1124,"Moyorodake""ÌĞÀ¤Ï©³Ù"},
45.3381 147.9250 1587,"Chirippusan""»¶ÉÛ»³"},
45.0972 148.0242 1125,"Sashiusudake""»Ø±±³Ù"},
45.0261 147.9219 1208,"Odamoisan""¾®ÅÄË¨»³"},
45.0094 147.8756 1158,"Etorofu-Yakeyama""ÂòÂª¾Æ»³"},
44.8050 147.1350 1206,"Etorofu-Atosanupuri""ÂòÂª°¤ÅĞº´³Ù"},
44.4592 146.9364 1221,"Berutarubesan""¥Ù¥ë¥¿¥ë¥Ù»³"},
44.4525 146.1433 1486,"Ruruidake""¥ë¥ë¥¤³Ù"},
44.3508 146.2564 1822,"Chachadake""ÌìÌì³Ù"},
43.9764 145.7361  888,"Raususan""Íå±±»³"},
43.8411 145.5086  543,"Tomariyama""Çñ»³"}
